,id,full_id,population,lat,long,population_map
1,03751,Jlin_03751LM,lineataE,-32.4271,-53.41,lineata
2,03752,Jlin_03752LM,lineataE,-32.4271,-53.41,lineata
3,03753,Jlin_03753LM,lineataE,-32.4271,-53.41,lineata
4,03760,Jlin_03760RC,lineataE,-33.61252,-54.33024,lineata
5,03761,Jlin_03761RC,lineataE,-33.61252,-54.33024,lineata
6,03762,Jlin_03762RC,lineataE,-33.61252,-54.33024,lineata
7,08228,Jlin_08228Rc,lineataE,-33.61252,-54.33024,lineata
8,08230,Jlin_08230Rc,lineataE,-33.61252,-54.33024,lineata
9,08231,Jlin_08231Rc,lineataE,-33.61252,-54.33024,lineata
10,08945,Jlux_08945BO,luxata,-26.2939,-64.4424,luxata
11,08946,Jlux_08946BO,luxata,-26.2939,-64.4424,luxata
12,08947,Jlux_08947BO,luxata,-26.2939,-64.4424,luxata
13,17668,Jlux_17668BF,luxata,-26.2559,-64.5558,luxata
14,17669,Jlux_17669BF,luxata,-26.2559,-64.5558,luxata
15,17670,Jlux_17670BF,luxata,-26.2559,-64.5558,luxata
16,03771,Jmul_03771SR,lineataW,-31.19022,-64.27227,lineata
17,03772,Jmul_03772SR,lineataW,-31.19022,-64.27227,lineata
18,03773,Jmul_03773SR,lineataW,-31.19022,-64.27227,lineata
19,03778,Jmul_03778CE,lineataW,-30.44135,-64.47806,lineata
20,03780,Jmul_03780CE,lineataW,-30.44135,-64.47806,lineata
21,03781,Jmul_03781CE,lineataW,-30.44135,-64.47806,lineata
22,03795,Jmul_03795AR,lineataW,-28.34208,-66.49314,lineata
23,03796,Jmul_03796ar,lineataW,-28.34208,-66.49314,lineata
24,03797,Jmul_03797AR,lineataW,-28.34208,-66.49314,lineata
25,03851,Jmul_03851CE,lineataW,-30.44135,-64.47806,lineata
26,03852,Jmul_03852CE,lineataW,-30.44135,-64.47806,lineata
27,03853,Jmul_03853CE,lineataW,-30.44135,-64.47806,lineata
28,06589,Jmul_06589SO,lineataW,-30.85113,-64.97904,lineata
29,06594,Jmul_06594SO,lineataW,-30.85113,-64.97904,lineata
30,06604,Jmul_06604SO,lineataW,-30.85113,-64.97904,lineata
31,06621,Jmul_06621PT,lineataE,-32.01522,-52.04508,lineata
32,06623,Jmul_06623PT,lineataE,-32.01522,-52.04508,lineata
33,06625,Jmul_06625PT,lineataE,-32.01522,-52.04508,lineata
34,08311,Jmul_08311LD,lineataE,-34.90883,-55.00638,lineata
35,08314,Jmul_08314LD,lineataE,-34.90883,-55.00638,lineata
36,08315,Jmul_08315LD,lineataE,-34.90883,-55.00638,lineata
37,08316,Jmul_08316Ld,lineataE,-34.90883,-55.00638,lineata
38,08317,Jmul_08317Ld,lineataE,-34.90883,-55.00638,lineata
39,08318,Jmul_08318Ld,lineataE,-34.90883,-55.00638,lineata
40,08352,Jmul_08352SO,lineataW,-30.85113,-64.97904,lineata
41,08353,Jmul_08353CE,lineataW,-30.44135,-64.47806,lineata
42,08354,Jmul_08354SO,lineataW,-30.85113,-64.97904,lineata
43,08377,Jmul_08377SO,lineataW,-30.85113,-64.97904,lineata
44,08400,Jmul_08400SO,lineataW,30.85113,-64.97904,lineata
45,08671,Jmul_08671LP,darwini,-22.17447,-41.34995,darwini
46,08672,Jmul_08672LP,darwini,-22.17447,-41.34995,darwini
47,08674,Jmul_08674LP,darwini,-22.17447,-41.34995,darwini
48,08721,Jmul_08721LC,darwini,-22.2535,-41.59152,darwini
49,08722,Jmul_08722LC,darwini,-22.2535,-41.59152,darwini
50,08723,Jmul_08723LC,darwini,-22.2535,-41.59152,darwini
51,08748,Jmul_08748LL,darwini,-22.05982,-41.08363,darwini
52,08749,Jmul_08749LL,darwini,-22.05982,-41.08363,darwini
53,08750,Jmul_08750LL,darwini,-22.05982,-41.08363,darwini
54,09891,Jmul_09891LP,darwini,-22.17447,-41.34995,darwini
55,09892,Jmul_09892LP,darwini,-22.17447,-41.34995,darwini
56,09893,Jmul_09893LP,darwini,-22.17447,-41.34995,darwini
57,17901,Jmul_17901MT,lineataN,-26.48563,-65.21925,lineata
58,17902,Jmul_17902MT,lineataN,-26.48563,-65.21925,lineata
59,17903,Jmul_17903MT,lineataN,-26.48563,-65.21925,lineata
60,17909,Jmul_17909RS,lineataN,-26.47563,-65.2124,lineata
61,17912,Jmul_17912RS,lineataN,-26.47563,-65.2124,lineata
62,17915,Jmul_17915RS,lineataN,-26.47563,-65.2124,lineata
63,03621,Jonc_03621RN,onca,-32.82523,-56.49371,onca
64,03626,Jonc_03626OG,onca,-32.82523,-56.49371,onca
65,03627,Jonc_03627RN,onca,-32.82523,-56.49371,onca
66,03696,Jonc_03696RY,onca,-33.40115,-56.50358,onca
67,03697,Jonc_03697RY,onca,-33.40115,-56.50358,onca
68,03699,Jonc_03699RY,onca,-33.40115,-56.50358,onca
69,03716,Jonc_03716T1,onca,-32.49019,-56.25867,onca
70,03717,Jonc_03717T1,onca,-32.49019,-56.25867,onca
71,03718,Jonc_03718T1,onca,-32.49019,-56.25867,onca
72,03734,Jonc_03734T3,onca,-32.46118,-56.336,onca
73,03735,Jonc_03735T3,onca,-32.46118,-56.336,onca
74,03736,Jonc_03736T3,onca,-32.46118,-56.336,onca
75,03739,Jonc_03739T4,onca,-32.4628,-56.32227,onca
76,03740,Jonc_03740T4,onca,-32.4628,-56.32227,onca
77,03741,Jonc_03741T4,onca,-32.4628,-56.32227,onca
78,06607,Jspp_06607SU,lineataN,-28.1421,-65.2245,lineata
79,06616,Jspp_06616SU,lineataN,-28.1421,-65.2245,lineata
80,06617,Jspp_06617SU,lineataW,-28.1421,-65.2245,lineata
81,06618,Jspp_06618SU,lineataN,-28.1421,-65.2245,lineata
82,06619,Jspp_06619SU,lineataW,-28.1421,-65.2245,lineata
83,06620,Jspp_06620SU,lineataW,-28.1421,-65.2245,lineata
